sentence_id,word,label
0,The,O
0,host,O
0,129.153.198.180,B-IP_ADDRESS
0,is,O
0,unreachable,O
1,The,O
1,server,O
1,at,O
1,183.214.39.114,B-IP_ADDRESS
1,is,O
1,down,O
1,please,O
1,check,O
2,Please,O
2,contact,O
2,Noah,B-NAME
2,Rhodes,I-NAME
2,at,O
2,garzaanthony@example.org,B-EMAIL
2,for,O
2,further,O
2,details,O
3,Can,O
3,you,O
3,help,O
3,me,O
3,debug,O
3,this,O
3,Python,O
3,code,O
4,API,O
4,key,O
4,AKIA64887E118FD142829989,B-API_KEY
4,and,O
4,card,O
4,4338-9083-8637-9402,B-CREDIT_CARD
4,are,O
4,compromised,O
5,My,O
5,API,O
5,key,O
5,is,O
5,rk_live_456FEB1EB3D8443CACBC,B-API_KEY
5,why,O
5,is,O
5,it,O
5,returning,O
5,401,O
6,My,O
6,IP,O
6,address,O
6,is,O
6,178.141.167.230,B-IP_ADDRESS
6,and,O
6,I,O
6,cannot,O
6,connect,O
7,Billing,O
7,email,O
7,is,O
7,michellejames@example.com,B-EMAIL
7,and,O
7,phone,O
7,is,O
7,525-534-1928,B-PHONE
8,Contact,O
8,support,O
8,using,O
8,phone,O
8,+91-6270482814,B-PHONE
8,or,O
8,email,O
8,ericfarmer@example.net,B-EMAIL
9,My,O
9,phone,O
9,number,O
9,is,O
9,809-570-1543,B-PHONE
9,call,O
9,me,O
9,anytime,O
10,I,O
10,paid,O
10,using,O
10,card,O
10,4509-8393-0103-1051,B-CREDIT_CARD
10,but,O
10,it,O
10,got,O
10,declined,O
11,Hi,O
11,I,O
11,am,O
11,Jerry,B-NAME
11,Henderson,I-NAME
11,my,O
11,SSN,O
11,is,O
11,473-17-8108,B-SSN
11,and,O
11,email,O
11,is,O
11,novaksara@example.org,B-EMAIL
12,Server,O
12,password,O
12,is,O
12,Kafe87!NZ,B-PASSWORD
12,for,O
12,IP,O
12,213.68.181.17,B-IP_ADDRESS
13,Hi,O
13,there,O
13,I,O
13,am,O
13,William,B-NAME
13,Baker,I-NAME
14,My,O
14,SSN,O
14,is,O
14,746-87-2343,B-SSN
14,and,O
14,I,O
14,need,O
14,help,O
14,with,O
14,my,O
