sentence_id,entity_type,value
0,IP_ADDRESS,129.153.198.180
1,IP_ADDRESS,183.214.39.114
2,NAME,Noah Rhodes
2,EMAIL,garzaanthony@example.org
4,API_KEY,AKIA64887E118FD142829989
4,CREDIT_CARD,4338-9083-8637-9402
5,API_KEY,rk_live_456FEB1EB3D8443CACBC
6,IP_ADDRESS,178.141.167.230
7,EMAIL,michellejames@example.com
7,PHONE,525-534-1928
8,PHONE,+91-6270482814
8,EMAIL,ericfarmer@example.net
9,PHONE,809-570-1543
10,CREDIT_CARD,4509-8393-0103-1051
11,NAME,Jerry Henderson
11,SSN,473-17-8108
11,EMAIL,novaksara@example.org
12,PASSWORD,Kafe87!NZ
12,IP_ADDRESS,213.68.181.17
13,NAME,William Baker
14,SSN,746-87-2343
15,NAME,Lauren Daniels
15,EMAIL,brian97@example.net
15,PHONE,+91-2475107991
15,CREDIT_CARD,4183-8425-1354-2784
16,EMAIL,danagreen@example.net
16,NAME,Michael Hoffman
17,PHONE,+1-869-232-2602
17,EMAIL,lisastevens@example.com
19,NAME,Shelby Walker
19,EMAIL,raymondramirez@example.org
22,PASSWORD,Xrwp99&GZ
23,EMAIL,sheila14@example.org
23,PASSWORD,Lqcg45#MB
24,SSN,556-98-1693
26,EMAIL,bradley60@example.net
26,PASSWORD,Ziru23@VV
27,IP_ADDRESS,151.79.103.149
27,EMAIL,qjones@example.com
28,IP_ADDRESS,135.249.220.117
29,API_KEY,ghp_0C6AE78096314235A1A9
29,NAME,Elizabeth Parker
30,CREDIT_CARD,5044-3699-5777-3872
32,PHONE,+91-7986872774
33,EMAIL,maryramirez@example.net
33,API_KEY,sk-489CE3353130470DA8D5
34,IP_ADDRESS,23.167.230.243
34,EMAIL,scott43@example.com
35,CREDIT_CARD,3688-937346-70656
36,NAME,Sara Calhoun
36,IP_ADDRESS,192.80.110.116
38,IP_ADDRESS,208.222.5.31
39,API_KEY,ghp_3925344564514530BE69
40,PASSWORD,Fpbi34@DL
40,EMAIL,greenmark@example.com
41,PHONE,(053) 100-3309
43,NAME,Susan Brooks
43,IP_ADDRESS,205.150.45.236
44,CREDIT_CARD,4193-1491-9058-6518
45,IP_ADDRESS,149.135.133.180
46,IP_ADDRESS,84.205.8.57
46,EMAIL,tonykelly@example.com
47,API_KEY,xoxb-D00A12022D8D4ADEA823
47,CREDIT_CARD,3685-574443-13518
49,NAME,Melissa Lee
49,PHONE,(524) 082-4008
49,CREDIT_CARD,5867-7496-4990-9133
50,API_KEY,AKIAA8D2E0A5448B477AA753
50,NAME,Dwayne Campbell
51,PASSWORD,Dero44@QY
52,CREDIT_CARD,3594-013990-49027
53,PASSWORD,Hpcr78$LL
54,PASSWORD,Boff69&EW
55,API_KEY,rk_live_D4B867B2E16042209A41
55,CREDIT_CARD,3703-482477-10932
56,NAME,Adam Russell
57,NAME,Ryan Wilson
57,SSN,127-48-4677
57,EMAIL,stephenthomas@example.org
58,EMAIL,michellehill@example.com
58,PHONE,+1-339-636-0576
62,PHONE,(596) 158-6578
62,EMAIL,hthomas@example.com
64,PHONE,+1-821-759-4647
65,PASSWORD,Sssb44@QZ
66,SSN,409-09-7439
67,PASSWORD,Zwoo50$MN
67,EMAIL,erica21@example.net
68,NAME,Ellen Alexander
68,SSN,952-14-5623
69,EMAIL,kristinwalter@example.com
69,NAME,Susan Rivas
70,PASSWORD,Qezs92*VV
71,API_KEY,ghp_0A7F1C86B10949CFA05B
72,API_KEY,AKIA8CB2242CDDD54E8FB790
74,NAME,Julie Jones
75,EMAIL,michelleramsey@example.com
75,API_KEY,ghp_604764CFA0CE43B9BBDF
77,PHONE,+91-0471138267
77,EMAIL,ellen86@example.net
78,PHONE,+91-3293183933
78,EMAIL,kim90@example.com
79,NAME,Brianna Anderson
79,PHONE,(024) 026-8117
79,CREDIT_CARD,4711-5921-2499-8569
80,PASSWORD,Fbgv73@VX
80,IP_ADDRESS,160.245.174.157
82,PHONE,988-516-5604
82,EMAIL,michael22@example.net
83,API_KEY,rk_live_D273B0F46E9D4EE48C8C
84,PASSWORD,Qzej97&VO
85,CREDIT_CARD,4018-3667-5254-5991
86,IP_ADDRESS,77.21.68.189
86,EMAIL,sierra24@example.com
87,IP_ADDRESS,32.126.165.147
87,EMAIL,lburgess@example.org
88,CREDIT_CARD,5696-6416-0529-7516
89,CREDIT_CARD,5212-7799-7995-5271
89,NAME,Dustin Newman
90,NAME,Ann Wheeler
91,NAME,Kevin Best
91,EMAIL,colelisa@example.net
92,EMAIL,marcalvarez@example.org
92,PHONE,071-518-2037
93,EMAIL,brookehurley@example.com
93,PHONE,+1-141-888-0592
95,NAME,Nathan Montes
95,SSN,947-38-3473
96,EMAIL,erika97@example.com
96,PASSWORD,Xsxy24%GH
97,PHONE,(181) 412-4782
97,CREDIT_CARD,5898-6143-4103-6971
98,NAME,Jason Beck
98,EMAIL,millsmichael@example.net
101,IP_ADDRESS,4.41.165.8
101,PASSWORD,Yeco74#YX
102,PASSWORD,Qvbw23%YE
102,IP_ADDRESS,38.162.109.199
104,IP_ADDRESS,186.163.254.16
105,PASSWORD,Icwi87$VP
